document_id,maximal_passages,unique_words
GHD-04056,67,1795
GHD-00873,51,1615
GHD-00688,59,1581
GHD-00815,50,1548
GHD-05165,53,1543
GHD-03744,45,1493
GHD-04917,42,1462
GHD-03035,44,1343
GHD-05018,53,1339
GHD-01446,49,1326
GHD-01928,43,1302
GHD-00616,46,1268
GHD-02601,34,1184
GHD-01955,41,1165
GHD-05061,34,1106
GHD-04432,39,1074
GHD-01701,32,1064
GHD-00851,34,1058
GHD-01049,33,1007
GHD-03671,37,995
GHD-01833,30,980
GHD-00245,30,977
GHD-05051,36,966
GHD-05069,34,964
GHD-02544,33,950
GHD-04893,33,929
GHD-04738,33,928
GHD-04918,42,923
GHD-00251,33,915
GHD-00613,34,896
GHD-02698,31,892
GHD-04543,32,882
GHD-00485,33,881
GHD-05257,33,864
GHD-01047,38,853
GHD-03603,31,825
GHD-03665,28,824
GHD-00934,27,821
GHD-01093,30,808
GHD-03925,31,807
GHD-04143,29,802
GHD-00845,34,801
GHD-00592,24,796
GHD-02717,28,790
GHD-01055,34,790
GHD-03668,30,782
GHD-00270,27,778
GHD-04915,24,763
GHD-01591,27,761
GHD-03994,29,741
GHD-00802,26,730
GHD-03675,25,713
GHD-04072,25,712
GHD-05062,24,707
GHD-00600,26,696
GHD-05260,26,690
GHD-03993,24,689
GHD-03374,23,686
GHD-03307,24,685
GHD-03286,24,672
GHD-03460,23,668
GHD-00048,25,663
GHD-02445,27,663
GHD-03730,20,650
GHD-02732,22,645
GHD-00840,27,644
GHD-00669,23,643
GHD-04243,24,642
GHD-03520,20,629
GHD-00874,19,622
GHD-04076,22,621
GHD-02101,23,621
GHD-03478,22,618
GHD-00516,19,616
GHD-00798,22,612
GHD-04588,21,608
GHD-02276,26,602
GHD-02012,22,601
GHD-00974,20,588
GHD-01068,19,579
GHD-04690,21,576
GHD-00745,19,573
GHD-05159,19,571
GHD-01900,16,564
GHD-01152,20,561
GHD-04101,21,559
GHD-00697,20,555
GHD-00760,20,553
GHD-05112,21,547
GHD-01911,19,538
GHD-01445,19,526
GHD-02017,20,521
GHD-00776,20,520
GHD-05308,18,520
GHD-00997,18,520
GHD-02196,29,515
GHD-00607,20,515
GHD-03434,19,513
GHD-02526,17,511
GHD-01471,18,510
GHD-00795,18,509
GHD-01828,18,503
GHD-02042,16,495
GHD-05253,13,493
GHD-03083,15,479
GHD-02424,16,474
GHD-01920,16,473
GHD-04421,18,472
GHD-04452,19,471
GHD-03167,16,471
GHD-01965,14,469
GHD-00391,16,468
GHD-04900,19,466
GHD-00202,17,466
GHD-00400,16,460
GHD-03277,16,459
GHD-00813,17,459
GHD-00753,18,458
GHD-04732,17,457
GHD-00488,17,447
GHD-03421,18,445
GHD-03798,12,444
GHD-01737,15,438
GHD-03076,15,437
GHD-04444,17,435
GHD-03543,15,431
GHD-01912,16,427
GHD-03965,16,425
GHD-00227,14,421
GHD-03000,14,415
GHD-03886,14,414
GHD-04558,16,412
GHD-04446,15,410
GHD-04996,16,407
GHD-04069,15,406
GHD-03435,13,406
GHD-04830,18,405
GHD-02894,13,404
GHD-00144,15,401
GHD-05119,15,400
GHD-00255,16,400
GHD-01184,17,397
GHD-01882,11,397
GHD-00718,15,395
GHD-00079,13,383
GHD-01265,13,382
GHD-04571,13,377
GHD-01818,11,377
GHD-04420,13,375
GHD-00355,14,373
GHD-00450,15,372
GHD-05263,13,368
GHD-01747,12,367
GHD-00623,15,366
GHD-02340,15,366
GHD-01077,14,362
GHD-00818,15,361
GHD-03447,13,353
GHD-02171,12,352
GHD-00741,12,348
GHD-01643,12,346
GHD-01879,12,345
GHD-03851,12,345
GHD-04813,11,344
GHD-01470,13,343
GHD-00830,15,341
GHD-00412,10,337
GHD-03966,13,335
GHD-01847,11,328
GHD-03169,11,325
GHD-02295,11,323
GHD-01349,11,322
GHD-05282,12,321
GHD-00143,10,320
GHD-01020,12,319
GHD-01185,12,315
GHD-00586,11,315
GHD-02796,11,312
GHD-01399,11,312
GHD-00222,13,308
GHD-00935,11,308
GHD-01005,12,305
GHD-00928,11,301
GHD-03578,9,301
GHD-01416,11,300
GHD-01634,14,300
GHD-01191,10,300
GHD-00246,11,297
GHD-04210,10,294
GHD-02216,10,292
GHD-00403,11,292
GHD-03243,10,287
GHD-00129,12,279
GHD-00668,8,278
GHD-01085,9,278
